,Country,Count
1,Afghanistan,23
2,Albania,4
3,Algeria,13
4,Angola,4
5,Argentina,18
6,Armenia,2
7,Australia,108
8,Austria,5
9,Azerbaijan,11
10,Bangladesh,5
11,Belarus,4
12,Belgium,8
13,Belize,4
14,Benin,1
15,Bhutan,19
16,Bolivia,39
17,Bosnia and Herzegovina,2
18,Botswana,11
19,Brazil,190
20,Bulgaria,7
21,Burkina Faso,1
22,Cambodia,19
23,Cameroon,36
24,Canada,93
25,Central African Republic,5
26,Chad,29
27,Chile,7
28,China,148
29,Colombia,69
30,Congo,2
31,Cook Islands,4
32,Costa Rica,8
33,Côte d'Ivoire,4
34,Croatia,8
35,Cyprus,1
36,Czech Republic,4
37,Democratic Republic of the Congo,6
38,Denmark,4
39,Dominica,1
40,Ecuador,20
41,Egypt,3
42,El Salvador,2
43,Equatorial Guinea,3
44,Eritrea,1
45,Estonia,3
46,Ethiopia,28
47,Faroe Islands,1
48,Fiji,1
49,Finland,8
50,France,26
51,French Guiana,4
52,French Polynesia,4
53,Gabon,8
54,Georgia,11
55,Germany,14
56,Ghana,5
57,Greece,10
58,Greenland,3
59,Guam,1
60,Guatemala,23
61,Guinea,8
62,Guinea-Bissau,3
63,Guyana,12
64,Honduras,8
65,Hungary,6
66,India,199
67,Indonesia,149
68,Ira,25
69,Iraq,8
70,Ireland,2
71,Israel,13
72,Italy,32
73,Japan,8
74,Jordan,2
75,Kazakhstan,1
76,Kenya,13
77,Kyrgyzstan,2
78,Laos,32
79,Latvia,6
80,Lebanon,2
81,Lesotho,1
82,Libya,6
83,Liechtenstein,1
84,Lithuania,4
85,Luxembourg,3
86,Malaysia,25
87,Mali,2
88,Mauritania,3
89,Mexico,143
90,Micronesia,13
91,Monaco,1
92,Mongolia,7
93,Montenegro,1
94,Morocco,8
95,Myanmar,28
96,Namibia,1
97,Nauru,2
98,Nepal,71
99,Netherlands,6
100,New Caledonia,19
101,New Zealand,1
102,Nicaragua,11
103,Niger,2
104,Nigeria,29
105,Niue,1
106,Norfolk Island,1
107,Norway,6
108,Oman,8
109,Pakistan,27
110,Palau,2
111,Palestine,1
112,Panama,9
113,Papua New Guinea,98
114,Paraguay,12
115,Peru,62
116,Philippines,15
117,Pitcairn ,1
118,Poland,9
119,Portugal,1
120,South Korea,1
121,Moldova,2
122,Romania,11
123,Russia,148
124,San Marino,1
125,Senegal,15
126,Serbia,6
127,Sierra Leone,5
128,Slovakia,5
129,Slovenia,3
130,Solomon Islands,18
131,South Africa,10
132,Spain,6
133,Sri Lanka,1
134,Sudan,65
135,Suriname,8
136,Sweden,9
137,Switzerland,8
138,Syria,7
139,Tajikistan,11
140,Thailand,26
141,Macedonia,7
142,Timor-Leste,6
143,Togo,1
144,Tokelau,1
145,Tunisia,3
146,Turkey,18
147,Turkmenistan,1
148,Tuvalu,1
149,Uganda,6
150,Ukraine,17
151,United Kingdom,12
152,United Republic of Tanzania,12
153,United States of America,227
154,Uruguay,1
155,Uzbekistan,3
156,Vanuatu,47
157,Venezuela,34
158,VietNam,28
159,Western Sahara,1
160,Yemen,4
161,NA,1
