name,country,endangerment,speakers,latitude,longitude
South Italian,Italy,Vulnerable,7500000,40.9798,15.249
Sicilian,Italy,Vulnerable,5.00E+06,37.4399,14.5019
Low Saxon,Germany,Vulnerable,4800000,53.4029,10.3601
Low Saxon,Denmark,Vulnerable,4800000,53.4029,10.3601
Low Saxon,Netherlands,Vulnerable,4800000,53.4029,10.3601
Low Saxon,Poland,Vulnerable,4800000,53.4029,10.3601
Low Saxon,Russian Federation,Vulnerable,4800000,53.4029,10.3601
Belarusian,Belarus,Vulnerable,4.00E+06,53.956,27.5756
Belarusian,Latvia,Vulnerable,4.00E+06,53.956,27.5756
Belarusian,Lithuania,Vulnerable,4.00E+06,53.956,27.5756
Belarusian,Poland,Vulnerable,4.00E+06,53.956,27.5756
Belarusian,Russian Federation,Vulnerable,4.00E+06,53.956,27.5756
Belarusian,Ukraine,Vulnerable,4.00E+06,53.956,27.5756
Lombard,Italy,Definitely endangered,3500000,45.7215,9.3273
Lombard,Switzerland,Definitely endangered,3500000,45.7215,9.3273
Romani,Albania,Definitely endangered,3500000,46.3165,22.3681
Romani,Germany,Definitely endangered,3500000,46.3165,22.3681
Romani,Austria,Definitely endangered,3500000,46.3165,22.3681
Romani,Belarus,Definitely endangered,3500000,46.3165,22.3681
Romani,Bosnia and Herzegovina,Definitely endangered,3500000,46.3165,22.3681
Romani,Bulgaria,Definitely endangered,3500000,46.3165,22.3681
Romani,Croatia,Definitely endangered,3500000,46.3165,22.3681
Romani,Estonia,Definitely endangered,3500000,46.3165,22.3681
Romani,Finland,Definitely endangered,3500000,46.3165,22.3681
Romani,France,Definitely endangered,3500000,46.3165,22.3681
Romani,Greece,Definitely endangered,3500000,46.3165,22.3681
Romani,Hungary,Definitely endangered,3500000,46.3165,22.3681
Romani,Italy,Definitely endangered,3500000,46.3165,22.3681
Romani,Latvia,Definitely endangered,3500000,46.3165,22.3681
Romani,Lithuania,Definitely endangered,3500000,46.3165,22.3681
Romani,The former Yugoslav Republic of Macedonia,Definitely endangered,3500000,46.3165,22.3681
Romani,Netherlands,Definitely endangered,3500000,46.3165,22.3681
Romani,Poland,Definitely endangered,3500000,46.3165,22.3681
Romani,Romania,Definitely endangered,3500000,46.3165,22.3681
Romani,United Kingdom of Great Britain and Northern Ireland,Definitely endangered,3500000,46.3165,22.3681
Romani,Russian Federation,Definitely endangered,3500000,46.3165,22.3681
Romani,Slovakia,Definitely endangered,3500000,46.3165,22.3681
Romani,Slovenia,Definitely endangered,3500000,46.3165,22.3681
Romani,Switzerland,Definitely endangered,3500000,46.3165,22.3681
Romani,Czech Republic,Definitely endangered,3500000,46.3165,22.3681
Romani,Turkey,Definitely endangered,3500000,46.3165,22.3681
Romani,Ukraine,Definitely endangered,3500000,46.3165,22.3681
Romani,Serbia,Definitely endangered,3500000,46.3165,22.3681
Romani,Montenegro,Definitely endangered,3500000,46.3165,22.3681
Yiddish (Israel),Israel,Definitely endangered,3.00E+06,32.0833,34.8333
Gondi,India,Vulnerable,2713790,19.5804,80.4418
Limburgian-Ripuarian,Germany,Vulnerable,2600000,50.7781,6.0864
Limburgian-Ripuarian,Belgium,Vulnerable,2600000,50.7781,6.0864
Limburgian-Ripuarian,Netherlands,Vulnerable,2600000,50.7781,6.0864
Quechua of Southern Bolivia,Bolivia (Plurinational State of),Vulnerable,2300000,-18.0675,-65.7641
Kumaoni,India,Vulnerable,2003783,29.4778,79.8486
Kumaoni,Nepal,Vulnerable,2003783,29.4778,79.8486
